"","unique_id","MDS1","MDS2","MDS3","SITE","INTERTIDAL_TRANSECT","LEVEL","YEAR","exposed"
"1","Babb's Cove-1-0-1988",-0.675024374122547,0.312066421560681,0.188484713644188,"Babb's Cove",1,0,1988,"1"
"2","Babb's Cove-1-0-1989",-0.675024374122704,0.312066421560761,0.188484713644299,"Babb's Cove",1,0,1989,"1"
"3","Babb's Cove-1-0-1990",-0.675024374122834,0.312066421560642,0.188484713644154,"Babb's Cove",1,0,1990,"1"
"4","Babb's Cove-1-0-1992",-0.743995435651222,0.409415139924498,0.210132988164819,"Babb's Cove",1,0,1992,"1"
"5","Babb's Cove-1-0-1994",-0.67502437412257,0.31206642156079,0.188484713644013,"Babb's Cove",1,0,1994,"1"
"6","Babb's Cove-1-0-1995",-0.67502437412261,0.312066421560417,0.188484713644781,"Babb's Cove",1,0,1995,"1"
"7","Babb's Cove-1-0-1996",-0.675024374122577,0.312066421560713,0.188484713644163,"Babb's Cove",1,0,1996,"1"
"8","Babb's Cove-1-1-1988",-0.675024374122579,0.312066421560683,0.188484713644252,"Babb's Cove",1,1,1988,"1"
"9","Babb's Cove-1-1-1989",-0.67502437412258,0.312066421560681,0.188484713644257,"Babb's Cove",1,1,1989,"1"
"10","Babb's Cove-1-1-1990",-0.67502437412258,0.312066421560681,0.188484713644258,"Babb's Cove",1,1,1990,"1"
"11","Babb's Cove-1-1-1992",-0.671680386135627,0.318744377402641,0.179158867786782,"Babb's Cove",1,1,1992,"1"
"12","Babb's Cove-1-1-1994",-0.675024374122579,0.312066421560681,0.188484713644258,"Babb's Cove",1,1,1994,"1"
"13","Babb's Cove-1-1-1995",-0.675024374122579,0.312066421560681,0.188484713644258,"Babb's Cove",1,1,1995,"1"
"14","Babb's Cove-1-1-1996",-0.67502437412258,0.312066421560681,0.188484713644258,"Babb's Cove",1,1,1996,"1"
"15","Babb's Cove-1-10-1982",-0.67502437412258,0.312066421560681,0.188484713644258,"Babb's Cove",1,10,1982,"1"
"16","Babb's Cove-1-10-1983",1.21152008937305,0.740272060938234,-1.14210238375943,"Babb's Cove",1,10,1983,"1"
"17","Babb's Cove-1-10-1984",1.14810248649016,0.373484547488271,-1.59176469792822,"Babb's Cove",1,10,1984,"1"
"18","Babb's Cove-1-10-1985",0.118415002225656,-0.409245107195701,-1.96770080878666,"Babb's Cove",1,10,1985,"1"
"19","Babb's Cove-1-10-1986",0.842419564989756,-0.290321837302361,-1.87701858127194,"Babb's Cove",1,10,1986,"1"
"20","Babb's Cove-1-10-1988",1.14962146268959,0.535088108494973,-1.663591552823,"Babb's Cove",1,10,1988,"1"
"21","Babb's Cove-1-10-1989",0.633622129083406,0.579334013822093,-1.77930092203303,"Babb's Cove",1,10,1989,"1"
"22","Babb's Cove-1-10-1990",1.1495270968369,0.988655192457761,-1.45829325906501,"Babb's Cove",1,10,1990,"1"
"23","Babb's Cove-1-10-1992",0.614186863646069,0.119226184460234,-0.897710897870232,"Babb's Cove",1,10,1992,"1"
"24","Babb's Cove-1-10-1994",0.555216717870684,0.470159514489781,-1.63681037851542,"Babb's Cove",1,10,1994,"1"
"25","Babb's Cove-1-10-1995",0.724418161820829,0.0601449229998343,-1.8688719941119,"Babb's Cove",1,10,1995,"1"
"26","Babb's Cove-1-10-1996",0.315837942098343,0.449385112102012,-1.86990483124465,"Babb's Cove",1,10,1996,"1"
"27","Babb's Cove-1-10-1998",1.09656626899902,0.472226860578798,-1.8491843849205,"Babb's Cove",1,10,1998,"1"
"28","Babb's Cove-1-11-1982",-0.675024374122579,0.312066421560681,0.188484713644258,"Babb's Cove",1,11,1982,"1"
"29","Babb's Cove-1-11-1983",0.976809214356553,0.695288718821373,0.144547146547042,"Babb's Cove",1,11,1983,"1"
"30","Babb's Cove-1-11-1984",0.904360491115609,-0.568659845137183,-1.22932920659147,"Babb's Cove",1,11,1984,"1"
"31","Babb's Cove-1-11-1986",-0.733960448289758,-1.7017591305882,-0.470916453653108,"Babb's Cove",1,11,1986,"1"
"32","Babb's Cove-1-11-1988",1.21065136373208,0.780428828064851,-1.54521170104213,"Babb's Cove",1,11,1988,"1"
"33","Babb's Cove-1-11-1989",0.419225393433066,0.603423293193422,-0.955837962124985,"Babb's Cove",1,11,1989,"1"
"34","Babb's Cove-1-11-1990",-0.593317432834498,0.110705065028378,-0.616986153749075,"Babb's Cove",1,11,1990,"1"
"35","Babb's Cove-1-11-1992",0.234752363087351,0.394000642449494,-0.788040430016344,"Babb's Cove",1,11,1992,"1"
"36","Babb's Cove-1-11-1994",0.861429081667037,0.229984439744354,-0.938350475571729,"Babb's Cove",1,11,1994,"1"
"37","Babb's Cove-1-11-1995",0.213878469680305,-0.850216357665159,-1.75161446035422,"Babb's Cove",1,11,1995,"1"
"38","Babb's Cove-1-11-1996",1.10293497368568,0.416899926641263,-1.82390494085362,"Babb's Cove",1,11,1996,"1"
"39","Babb's Cove-1-11-1998",0.28841622102613,-0.805210013788733,-1.71709120295992,"Babb's Cove",1,11,1998,"1"
"40","Babb's Cove-1-12-1982",-0.675024374122579,0.312066421560681,0.188484713644258,"Babb's Cove",1,12,1982,"1"
"41","Babb's Cove-1-12-1983",0.782621734365288,-1.15108690982259,1.44938948530812,"Babb's Cove",1,12,1983,"1"
"42","Babb's Cove-1-12-1984",1.01420320437527,-0.138734582775063,-0.876869543328517,"Babb's Cove",1,12,1984,"1"
"43","Babb's Cove-1-12-1985",0.228940838260782,-0.475422256804092,-1.6194226400535,"Babb's Cove",1,12,1985,"1"
"44","Babb's Cove-1-12-1986",-0.393846875606558,0.198251141787858,0.214517428089781,"Babb's Cove",1,12,1986,"1"
"45","Babb's Cove-1-12-1988",0.913639557186827,0.0416856797651681,-1.74222830812338,"Babb's Cove",1,12,1988,"1"
"46","Babb's Cove-1-12-1989",0.300512248281689,0.551234982567154,-0.608591860339475,"Babb's Cove",1,12,1989,"1"
"47","Babb's Cove-1-12-1990",0.146914615738219,-0.0461739041406691,-0.962089816579381,"Babb's Cove",1,12,1990,"1"
"48","Babb's Cove-1-12-1992",-0.383034819048097,0.303597105275004,0.317287514005104,"Babb's Cove",1,12,1992,"1"
"49","Babb's Cove-1-12-1994",1.1180999514645,-0.22740628749858,-1.10909686934866,"Babb's Cove",1,12,1994,"1"
"50","Babb's Cove-1-12-1995",0.407692785779819,-0.431412512142762,-1.86128279466998,"Babb's Cove",1,12,1995,"1"
"51","Babb's Cove-1-12-1996",0.913937901679207,0.00695761400408985,-1.96587391680547,"Babb's Cove",1,12,1996,"1"
"52","Babb's Cove-1-12-1998",0.332010322297914,-0.799675795952514,-1.82158740525386,"Babb's Cove",1,12,1998,"1"
"53","Babb's Cove-1-13-1982",-0.675024374122579,0.31206642156068,0.188484713644258,"Babb's Cove",1,13,1982,"1"
"54","Babb's Cove-1-13-1988",-0.570147865230663,0.236109072012112,-0.375132558578828,"Babb's Cove",1,13,1988,"1"
"55","Babb's Cove-1-13-1989",-0.150272003395532,-0.0886658291673294,-0.815497222750961,"Babb's Cove",1,13,1989,"1"
"56","Babb's Cove-1-13-1990",0.0602692270576872,0.1405310306956,-0.68316844159695,"Babb's Cove",1,13,1990,"1"
"57","Babb's Cove-1-13-1992",0.533655516727511,-0.488049747500292,0.70391971926934,"Babb's Cove",1,13,1992,"1"
"58","Babb's Cove-1-13-1994",-0.00616971700861671,-0.412320157448135,-0.937287138630809,"Babb's Cove",1,13,1994,"1"
"59","Babb's Cove-1-13-1995",0.13916132184337,-0.524240146578164,-0.918202284405511,"Babb's Cove",1,13,1995,"1"
"60","Babb's Cove-1-13-1996",0.299037247288171,0.371684925096683,-1.52937033283184,"Babb's Cove",1,13,1996,"1"
"61","Babb's Cove-1-13-1998",0.191418217497577,-0.52037683166862,-1.38127837688712,"Babb's Cove",1,13,1998,"1"
"62","Babb's Cove-1-14-1982",-0.675024374122579,0.31206642156068,0.188484713644258,"Babb's Cove",1,14,1982,"1"
"63","Babb's Cove-1-14-1994",0.282167161757648,0.109892058355403,-1.16272842710455,"Babb's Cove",1,14,1994,"1"
"64","Babb's Cove-1-14-1995",-0.635566677169301,-0.686367489940006,-0.6048577700542,"Babb's Cove",1,14,1995,"1"
"65","Babb's Cove-1-15-1982",-0.668252107148909,0.120786739824844,-0.299814708007744,"Babb's Cove",1,15,1982,"1"
"66","Babb's Cove-1-15-1995",-0.591793401210975,-1.47483841581942,-0.52228817051439,"Babb's Cove",1,15,1995,"1"
"67","Babb's Cove-1-2-1988",-0.675024374122579,0.31206642156068,0.188484713644258,"Babb's Cove",1,2,1988,"1"
"68","Babb's Cove-1-2-1989",-0.675024374122579,0.31206642156068,0.188484713644258,"Babb's Cove",1,2,1989,"1"
"69","Babb's Cove-1-2-1990",-0.675024374122579,0.31206642156068,0.188484713644258,"Babb's Cove",1,2,1990,"1"
"70","Babb's Cove-1-2-1992",-0.675024374122579,0.312066421560681,0.188484713644258,"Babb's Cove",1,2,1992,"1"
"71","Babb's Cove-1-2-1994",-0.675024374122579,0.31206642156068,0.188484713644258,"Babb's Cove",1,2,1994,"1"
