"target","interaction_type","source"
"Nucella lapillus","eats","Corallina officinalis"
"Littorina","eats","Polysiphonia"
"Littorina","eats","Ceramium virgatum"
"Littorina","eats","Cyanobacteria"
"Littorina","eats","Fucus"
"Littorina","eats","Ulva lactuca"
"Littorina","eats","Verrucaria"
"Littorina","eats","Hildenbrandia rubra"
"Littorina","eats","Alaria esculenta"
"Littorina","eats","Ascophyllum nodosum"
"Littorina","eats","Mastocarpus stellatus"
